name,park,country,location,height,speed,inversions,year,manufacturer,model,type
The Smiler,Alton Towers,United Kingdom,Staffordshire,30,85,14,2013,Gerstlauer,Euro-Fighter,Steel
Nemesis,Alton Towers,United Kingdom,Staffordshire,13,81,4,1994,Bolliger & Mabillard,Inverted,Steel
Taron,Phantasialand,Germany,Brühl,30,117,0,2016,Intamin,Multi-Launch,Steel
Helix,Liseberg,Sweden,Gothenburg,41,100,7,2014,Mack Rides,Mega Coaster,Steel
Shambhala,PortAventura Park,Spain,Salou,76,134,0,2012,Bolliger & Mabillard,Hyper Coaster,Steel
